"Agency name" ,"Email","Phone","Fax","City","State","Country","Zip","Status" 
Independent Adoption Ltd,PFTeam@mediaus.com,(666) 666-6666,(727) 578-0117,city,Alabama,US,53410,Active,
agency1234,syama.chodapaneedi@gmail.com,,,,Indiana,US,,Active,
Its an agency,askdasdkj@gmail.com,0,,,Alabama,US,,Approval,
sad,g@gmail.com,0,,,,US,,Approval,
Crystal Adoptions,PFTeam@mediaus.com,(770) 354-2376,(866) 349-4944,,Georgia,US,,Active,
Adoption Advisors,PFTeam@mediaus.com,(864) 439-8879,(864) 439-8879,,South Carolina,US,,Active,
Catholic Charities North Dakota,PFTeam@mediaus.com,(701) 235-4457,(701) 356-7993,,North Dakota,US,,Active,
Heart of Adoptions Inc.,PFTeam@mediaus.com,(800) 590-1108,(813) 254-9058,Tampa,Florida,US,33606,Active,
Catholic Social Service,PFTeam@mediaus.com,(620) 227-1562,(620) 227-1572,Dodge City,Kansas,US,67801,Active,
Hands Across the Water,PFTeam@mediaus.com,(734) 477-0135,(734) 477-0213,Ann Arbor,Michigan,US,48160,Active,
Family Adoption Consultants  A Program of Family & Community Services,PFTeam@mediaus.com,(586) 726-2988,(586) 726-2988,,Michigan,US,,Active,
MAPS Worldwide,PFTeam@mediaus.com,,,,Alabama,US,,Active,
Wide Horizons for Children,PFTeam@mediaus.com,,,,,US,,Active,
Acadia Adoption Center  LLC,PFTeam@mediaus.com,0,,,American Samoa,US,,Active,
Adoption Alliance of Texas,PFTeam@mediaus.com,(210) 349-3991,(210) 349-8075,San Antonio,Texas,US,78216,Active,
Catholic Charities Atlanta,PFTeam@mediaus.com,,,,,US,,Active,
Adoption & Beyond,PFTeam@mediaus.com,(913) 381-6919,(913) 381-6909,Overland Park ,Kansas,US, 66085,Active,
Christian Family Services,PFTeam@mediaus.com,(352) 378-6202,(352) 378-6202,Gainesville,Florida,US,32607,Active,
Marywood Children & Family Services,PFTeam@mediaus.com,(512) 472-9251,(512) 651-6161,Austin,Texas,US,78754,Active,
A Chosen Child Inc.,PFTeam@mediaus.com,(407) 895-0675,(407) 895-1599,Orlando,Florida,US,32803,Active,
Adoption & Family Support Center,Test_Jan_21@we.com,0,,,Indiana,US,,Active,
Adoptions Together,PFTeam@mediaus.com,(301) 439-2900,(301) 937-2147,Calverton,Maryland,US,20705,Active,
Adoption Dreams Come True Inc.,PFTeam@mediaus.com,(970) 493-2557,(970) 493-4479,Fort Collins,Colorado,US,80521,Active,
Gift of Life,PFTeam@mediaus.com,(727) 549-1416,(727) 548-8174,Pinellas Park,Florida,US,33781,Active,
Adoption Associates Inc,PFTeam@mediaus.com,(616) 667-0677,(616) 667-0677,Jenison,Michigan,US,49428,Active,
Terre Des Hommes,PFTeam@mediaus.com,(514) 937-3325,(514) 933-7125,,US (not specified),US,,Active,
Catholic Charities of Dallas  Inc.,PFTeam@mediaus.com,(214) 557-5286,(214) 526-2941,Dallas,Texas,US,75243,Active,
Catholic Charities of Southern Nevada,PFTeam@mediaus.com,(702) 385-3351,(702) 388-8723,Las Vegas,Nevada,US,89101,Active,
Catholic Community Services of Southern Arizona  Inc. ,PFTeam@mediaus.com,(800) 234-0344,(520) 770-8514,Tuson,Arizona,US,85705,Active,
Children of the World,PFTeam@mediaus.com,(251) 990-3550,(251) 990-3494,Fairhope,Alabama,US,36532,Active,
Catholic Charities of Central Colorado,PFTeam@mediaus.com,(719) 866-6535,(719) 578-5954,Colorado Springs,Colorado,US,80903,Active,
Catholic Family Services Diocese of Birmingham in Alabama,PFTeam@mediaus.com,(205) 324-6561,(205) 323-0475,Birmingham  Alabama,Alabama,US,35004,Active,
Catholic Charities Community Services,PFTeam@mediaus.com,(602) 650-4825,(000) 000-0000,,Arizona,US,,Active,
Catholic Charities St. Augustine,PFTeam@mediaus.com,(866) 901-9647,(000) 000-0000,,Florida,US,,Active,
Catholic Charities Des Moines,PFTeam@mediaus.com,(515) 237-5082,(515) 237-5099,Des Moines,Iowa,US,50309,Active,
Catholic Charities  Diocese of Norwich Inc.  ,PFTeam@mediaus.com,(860) 889-8346,(860) 889-8346,,Connecticut,US,,Active,
Catholic Charities of Northwest Florida,PFTeam@mediaus.com,(850) 436-6411,(850) 436-6414,Pensacola,Florida,US,32502,Active,
St. Elizabeth / Coleman,PFTeam@mediaus.com,(317) 787-3412,(000) 000-0000,,Alabama,US,,Active,
Law Office of Judi Setzer,PFTeam@mediaus.com,(904) 290-1102,(904) 306-1381,JACKSONVILLE,Florida,US,32207,Active,
Catholic Charities of Fort Wayne  South Bend,PFTeam@mediaus.com,(260) 422-5625,(260) 422-5657,,Indiana,US,,Active,
Catholic Charities Wichita,PFTeam@mediaus.com,(316) 263-6941,(316) 263-5259,Wichita,Kansas,US,67202,Active,
Catholic Charities of Northern Kansas,PFTeam@mediaus.com,(888) 468-6909,(785) 826-9708,,Kansas,US,,Active,
Catholic Charities of Northeast Kansas,PFTeam@mediaus.com,(877) 320-0121,(785) 233-7234,Kansas City  Topeka  Lawrence  and surrounding areas,Kansas,US,,Active,
CCUSA,PFTeam@mediaus.com,(703) 236-6229,(703) 549-4183,,Virginia,US,,Active,
Catholic Social Services Alaska,PFTeam@mediaus.com,(907) 222-7373,(907) 258-1091,Anchorage,Alaska,US,99508,Active,
Catholic Charities - Diocese of Covington,PFTeam@mediaus.com,(888) 440-9612,(859) 581-9595,,Kentucky,US,,Active,
Catholic Social Services of the Upper Peninsula,PFTeam@mediaus.com,(906) 786-7212,(906) 786-0676,Escanaba,Michigan,US,49829,Active,
Catholic Charities of Fairfield County  Inc.,PFTeam@mediaus.com,(203) 416-1336,(203) 372-5045,Bridgeport,Connecticut,US,06606,Active,
Catholic Guardian Society and Home Bureau,PFTeam@mediaus.com,(646) 784-0183,(212) 755-4233,New York,New York,US,10022,Active,
Catholic Charities Cleveland,PFTeam@mediaus.com,(440) 843-5631,(440) 845-5910,,Ohio,US,,Active,
Catholic Charities Diocese of Toledo,PFTeam@mediaus.com,(419) 244-6711,(419) 244-6711,,Ohio,US,,Active,
Catholic Charities Oregon,PFTeam@mediaus.com,(503) 238-5196,(503) 688-2617,Portland,Oregon,US,97202,Active,
Catholic Charities Tennesse,PFTeam@mediaus.com,(615) 636-2320,(615) 352-8591,Nashville,Tennessee,US,37205,Active,
L. Dale Dove,PFTeam@mediaus.com,(803) 327-1910,(803) 327-2216,Rock Hill,South Carolina,US,29730,Active,
Catholic Charities of East Tennessee,PFTeam@mediaus.com,(865) 776-4510,(865) 330-0169,Knoxville,Tennessee,US,37917,Active,
Catholic Charities Seattle,PFTeam@mediaus.com,(206) 328-5747,(206) 328-5747,,Washington,US,,Active,
Catholic Charities La Crosse,PFTeam@mediaus.com,(715) 832-6644,(715) 832-6686,La Crosse  Eau Claire  Wausau  and surrounding communities,Wisconsin,US,,Active,
Catholic Charities Diocese of Green Bay  Wisconsin,PFTeam@mediaus.com,(920) 272-8234,(920) 437-4067,Green Bay,Wisconsin,US,54301,Active,
Catholic Charities of Pittsburgh,PFTeam@mediaus.com,(412) 682-4410,(412) 682-4464,Pittsburgh,Pennsylvania,US,15213,Active,
Jennifer Fairfax Adoption & ART Law,PFTeam@mediaus.com,(301) 221-9651,(240) 491-9551,Silver Spring,Maryland,US,20910,Active,
Catholic Charities Lexington,PFTeam@mediaus.com,(859) 317-3358,(859) 255-1134,Lexington,Kentucky,US,40508,Active,
Catholic Charities SouthWestern Ohio,PFTeam@mediaus.com,(513) 241-7745,(513) 241-4333,,Ohio,US,,Active,
Adoption Choices of Nevada-Las Vegas,PFTeam@mediaus.com,(800) 681-4673,(877) 735-9426,Las Vegas,Nevada,US,89104,Active,
Catholic Charities Diocese of Owensboro,PFTeam@mediaus.com,(270) 852-8328,(000) 000-0000,,Kentucky,US,,Active,
Catholic Charities Louisville,PFTeam@mediaus.com,(502) 637-9786,(000) 000-0000,,Kentucky,US,,Active,
Catholic Charities St Paul and Minneapolis,PFTeam@mediaus.com,(651) 647-3103,(000) 000-0000,,Minnesota,US,,Active,
Catholic Charities Harrisburg PA,PFTeam@mediaus.com,(717) 564-7115,(717) 564-7180,Harrisburg,Pennsylvania,US,17111,Active,
Catholic Social Services Montana,PFTeam@mediaus.com,(406) 442-4130,(406) 442-4192,,Montana,US,,Active,
Adoption Star NY,PFTeam@mediaus.com,0,,,Maryland,US,,Active,
Catholic Charities Diocese of Charlotte,PFTeam@mediaus.com,(704) 370-3222,(704) 370-3290,Charlotte,North Carolina,US,28203-4003,Active,
Test_Upgrade,1PFTeam@mediaus.com,,, ,Florida,US, 33772,Active,
Group_Test,PFTeam@mediaus.com,(727) 394-3980,(727) 394-3980,city,Alabama,US,2423534,Active,
Test_Group,1PFTeam@mediaus.com,,, ,Florida,US, 33772,Active,
Test_Group1,1PFTeam@mediaus.com,,, ,Florida,US, 33772,Active,
Test_Group2,1PFTeam@mediaus.com,,, ,Florida,US, 33772,Active,
Test_group3,1PFTeam@mediaus.com,,, ,Florida,US, 33772,Active,
Test_group3,1PFTeam@mediaus.com,,, ,Florida,US, 33772,Active,
Test_group4,1PFTeam@mediaus.com,,, ,Florida,US, 33772,Active,
Test_group5,PFTeam@mediaus.com,(727) 394-3980,(727) 394-3980,,Alabama,US,,Active,
Test_group6c,PFTeam@mediaus.com,(727) 394-3980,(727) 394-3980,,Alabama,US,,Active,
grptest,PFTeam@mediaus.com,34444444444,(727) 394-3980,,Alabama,US,,Active,
Testing_group,PFTeam@mediaus.com,(727) 394-3980,(727) 394-3980,,Alabama,US,,Active,
New agency group,PFTeam@mediaus.com,(727) 394-3980,(727) 394-3980,,Alabama,US,,Active,
Test_PF_agency,3@a.com,0,,,Indiana,US,,Active,
Test_PF_agency1,3@a.com(2),0,,,Indiana,US,,Approval,
Test_PF_agency2,PFTeam@mediaus.com,0,,,Texas,US,,Active,
Media Agency,PFTeam@mediaus.com,0,,,Nebraska,US,,Active,
Agency_Test100,PFTeam@mediaus.com,0,,,Delaware,US,,Approval,
Agency_Test101,PFTeam@mediaus.com,0,,,Arkansas,US,,Approval,
Agency_Test102,PFTeam@mediaus.com,0,,,American Samoa,US,,Approval,
Agency_Test103,PFTeam@mediaus.com,0,,,Arizona,US,,Approval,
Agency_Test105,PFTeam@mediaus.com,0,,,,US,,Approval,
Wales - UK,PFTeam@mediaus.com,(998) 918-7817,,,Non US (Germany),US,,Active,
Test_agency_04_01,Test_agency_04_01@wer.com,0,,,Alabama,US,,Approval,
Test_agency_04_02,Test_agency_04_02@wer.com,0,,,,US,,Approval,
