"Agency name" ,"Email","Phone","Fax","City","State","Country","Zip","Status" 
Independent Adoption,parentfinder@cairsolutions.com,(727) 394-3980,(727) 578-0117, Tampa,Florida,US,33772,Active,
Crystal Adoptions,dee@crystaladoptions.com,(770) 354-2376,(866) 349-4944,Suwanee,Georgia,US,30024,Active,
Adoption Advisors,adoptionadvisors@gmail.com,(864) 439-8879,(864) 439-8879,,South Carolina,US,,Active,
Catholic Charities North Dakota,cgaddie@catholiccharitiesnd.org,(701) 235-4457,(701) 356-7993,,North Dakota,US,,Active,
Heart of Adoptions Inc.,meredith@heartofadoptions.com,(800) 462-3678,(813) 254-9058,Tampa,Florida,US,33606,Active,
Catholic Social Service,adopt@catholicsocialservice.org,(620) 227-1562,(620) 227-1572,Dodge City,Kansas,US,67801,Active,
Hands Across the Water,info@hatw.org,(734) 477-0135,(734) 477-0213,Ann Arbor,Michigan,US,48108,Active,
Family Adoption Consultants  A Program of Family & Community Services,kathyluz@facadopt.org,(586) 726-2988,(586) 726-2988,,Michigan,US,,Active,
MAPS Worldwide,heathers@maps-worldwide.org,,,,Alabama,US,,Active,
Wide Horizons for Children,rwolfe@whfc.org,,,,,US,,Active,
Acadia Adoption Center  LLC,info@acadiaadoptioncenter.com,,,,,US,,Active,
Adoption Alliance of Texas,justin@theadoptionalliance.com,(210) 349-3991,(210) 349-8075,San Antonio,Texas,US,78216,Active,
Catholic Charities Atlanta,SThompson@archatl.com,,,,,US,,Active,
Adoption & Beyond,adopt@adoption-beyond.org,(913) 381-6919,(913) 381-6909,Overland Park ,Kansas,US, 66085,Active,
Christian Family Services,info@cfsfl.org,(352) 378-6202,(352) 378-6202,Gainesville,Florida,US,32607,Active,
Marywood Children & Family Services,karen-rogers@ccctx.org,(512) 472-9251,(512) 651-6161,Austin,Texas,US,78754,Active,
A Chosen Child Inc.,Clara@achosenchild.com,(407) 895-0675,(407) 895-1599,Orlando,Florida,US,32803,Active,
Adoption & Family Support Center,elisa568@yahoo.com,(386) 760-5804,(386) 322-3349,Port Orange,Florida,US,32127,Active,
Adoptions Together,parentfinder@adoptionstogether.org,(301) 439-2900,(301) 937-2147,Calverton,Maryland,US,20705,Active,
Adoption Dreams Come True Inc.,adoptdreams@yahoo.com,(970) 493-2557,(970) 493-4479,Fort Collins,Colorado,US,80521,Active,
Gift of Life,atomljanovich@giftoflifeadoptions.com,(727) 549-1416,(727) 548-8174,Pinellas Park,Florida,US,33781,Active,
Adoption Associates Inc,mleahy@adoptionassociates.net,(616) 667-0677,(616) 667-0677,Jenison,Michigan,US,49428,Active,
Terre Des Hommes,dorinda@tdh.ca,(514) 937-3325,(514) 933-7125,,US (not specified),US,,Active,
Catholic Charities of Dallas  Inc.,csalazar@ccdallas.org,(214) 526-2272,(214) 526-2941,Dallas,Texas,US,75212,Active,
Catholic Charities of Southern Nevada,bsingletary@catholiccharities.com,(702) 385-3351,(702) 388-8723,Las Vegas,Nevada,US,89101,Active,
Catholic Community Services of Southern Arizona  Inc. ,lexanncsstuson@aol.com,(800) 234-0344,(520) 770-8514,Tuson,Arizona,US,85705,Active,
Children of the World,Teresa@childrenoftheworld.com,(251) 990-3550,(251) 990-3494,Fairhope,Alabama,US,36532,Active,
Catholic Charities of Central Colorado,KThayer@ccharitiescc.org,(719) 866-6535,(719) 578-5954,Colorado Springs,Colorado,US,80903,Active,
Catholic Family Services Diocese of Birmingham in Alabama,bpitts@cfsbhm.org,(205) 324-6561,(205) 323-0475,Birmingham  Alabama,Alabama,US,35004,Active,
Catholic Charities Community Services,aoloughlin@cc-az.org,(602) 650-4825,(000) 000-0000,,Arizona,US,,Active,
Catholic Charities St. Augustine,ryanlmz@yahoo.com,(866) 901-9647,(000) 000-0000,,Florida,US,,Active,
Catholic Charities Des Moines,anewbeginning@dmdiocese.org,(515) 237-5082,(515) 237-5099,Des Moines,Iowa,US,50309,Active,
Catholic Charities  Diocese of Norwich Inc.  ,susansedensky@ccfsn.org,(860) 889-8346,(860) 889-8346,,Connecticut,US,,Active,
Catholic Charities of Northwest Florida,simsk@cc.ptdiocese.org,(850) 436-6411,(850) 436-6414,Pensacola,Florida,US,32502,Active,
St. Elizabeth / Coleman,eshelley@stelizabethcatholiccharities.org,(317) 787-3412,(000) 000-0000,,Alabama,US,,Active,
Law Office of Judi Setzer,judi@setzerfirm.com,(904) 290-1102,(904) 306-1381,JACKSONVILLE,Florida,US,32207,Active,
Catholic Charities of Fort Wayne  South Bend,djschmidt@ccfwsb.org,(260) 422-5625,(260) 422-5657,,Indiana,US,,Active,
Catholic Charities Wichita,lfarha@catholiccharitieswichita.org,(316) 263-6941,(316) 263-5259,Wichita,Kansas,US,67202,Active,
coordinators2inc,rricardo@c2adopt.org,(804) 354-1881,(804) 355-1001,,Virginia,US,,Active,
Catholic Charities of Northern Kansas,mmartin@ccnks.org,(888) 468-6909,(785) 826-9708,,Kansas,US,,Active,
Catholic Charities of Northeast Kansas,maternity@catholiccharitiesks.org,(877) 320-0121,(785) 233-7234,Kansas City  Topeka  Lawrence  and surrounding areas,Kansas,US,,Active,
CCUSA,jbeil@catholiccharitiesusa.org,(703) 236-6229,(703) 549-4183,,Virginia,US,,Active,
Catholic Social Services Alaska,sblanning@cssalaska.org,(907) 222-7373,(907) 258-1091,Anchorage,Alaska,US,99508,Active,
Catholic Charities - Diocese of Covington,mkuhlman@covingtoncharities.org,(888) 440-9612,(859) 581-9595,,Kentucky,US,,Active,
Catholic Social Services of the Upper Peninsula,dtryan@cssup.org,(906) 786-7212,(906) 786-0676,Escanaba,Michigan,US,49829,Active,
Catholic Charities of Fairfield County  Inc.,azajac@ccfc-ct.org,(203) 416-1336,(203) 372-5045,Bridgeport,Connecticut,US,06606,Active,
Catholic Guardian Society and Home Bureau,KDooley-Polcha@cgshb.org,(646) 784-0183,(212) 755-4233,New York,New York,US,10022,Active,
